epoch,train_l1,train_perc,val_l1,val_perc,train_total,val_total,learning_rate
98,0.037965,4.098093,0.041079,4.294003,0.857584,0.899880,0.00080000
99,0.038687,4.190097,0.043798,4.225190,0.876707,0.888836,0.00080000
100,0.039398,4.181983,0.038079,4.170445,0.875794,0.872168,0.00080000
101,0.039706,4.200825,0.041072,4.253344,0.879871,0.891741,0.00080000
102,0.040030,4.143960,0.040130,4.266417,0.868822,0.893413,0.00080000
103,0.040962,4.236473,0.037445,4.137989,0.888257,0.865043,0.00080000
104,0.041841,4.177286,0.045097,4.614391,0.877299,0.967975,0.00080000
105,0.040731,4.225883,0.043164,4.361380,0.885908,0.915440,0.00080000
106,0.039045,4.097804,0.041180,4.457572,0.858605,0.932694,0.00080000
107,0.038528,4.211907,0.037777,4.360787,0.880910,0.909934,0.00080000
108,0.037959,4.251799,0.039735,4.428982,0.888319,0.925531,0.00080000
109,0.035770,4.150439,0.036927,4.341664,0.865858,0.905259,0.00080000
110,0.036098,4.182531,0.037987,4.326779,0.872604,0.903343,0.00080000
111,0.036971,4.191084,0.038991,4.477023,0.875188,0.934396,0.00080000
112,0.035606,4.086409,0.042325,4.435892,0.852888,0.929504,0.00080000
113,0.039854,4.263961,0.041258,4.198289,0.892646,0.880916,0.00080000
114,0.038475,4.105129,0.040306,4.455107,0.859501,0.931328,0.00080000
115,0.038290,4.209910,0.041898,4.435676,0.880272,0.929033,0.00080000
116,0.038063,4.202407,0.039265,4.234372,0.878544,0.886140,0.00080000
117,0.035356,4.060901,0.036847,4.264972,0.847536,0.889842,0.00080000
118,0.036871,4.218784,0.036916,4.292074,0.880628,0.895331,0.00080000
119,0.036039,4.148340,0.037127,4.293526,0.865707,0.895832,0.00080000
120,0.035639,4.235501,0.034622,4.213024,0.882739,0.877227,0.00080000
121,0.035993,4.192315,0.037434,4.269610,0.874456,0.891356,0.00080000
122,0.036482,4.298215,0.037827,4.420129,0.896125,0.921853,0.00080000
123,0.036882,4.216563,0.036192,4.127361,0.880195,0.861664,0.00080000
124,0.037337,4.183899,0.036453,4.352094,0.874117,0.906872,0.00080000
125,0.036638,4.231653,0.036635,4.311334,0.882969,0.898902,0.00080000
126,0.034367,4.043802,0.035129,4.273980,0.843127,0.889925,0.00080000
127,0.035974,4.172045,0.035373,4.208790,0.870383,0.877131,0.00080000
128,0.035604,4.202870,0.035941,4.273597,0.876178,0.890660,0.00080000
129,0.033658,4.135784,0.034460,4.262075,0.860814,0.886875,0.00080000
130,0.032409,4.052200,0.035982,4.319008,0.842849,0.899784,0.00080000
131,0.034572,4.162016,0.033581,4.232057,0.866976,0.879993,0.00080000
132,0.033546,4.141852,0.036206,4.389782,0.861916,0.914162,0.00080000
133,0.034648,4.210332,0.036930,4.374063,0.876714,0.911742,0.00080000
134,0.033394,4.032338,0.036409,4.340368,0.839862,0.904483,0.00080000
135,0.035392,4.217481,0.037221,4.232538,0.878888,0.883728,0.00080000
136,0.035253,4.166183,0.036852,4.407510,0.868490,0.918354,0.00080000
137,0.035112,4.144842,0.034575,4.215721,0.864080,0.877720,0.00080000
138,0.033512,4.106435,0.035936,4.174906,0.854799,0.870917,0.00080000
139,0.035142,4.168537,0.033874,4.151353,0.868849,0.864145,0.00080000
140,0.034483,4.150750,0.037380,4.376283,0.864633,0.912636,0.00080000
141,0.036522,4.259065,0.033942,4.143144,0.888335,0.862571,0.00080000
142,0.033389,4.063823,0.036563,4.248699,0.846154,0.886303,0.00080000
143,0.036157,4.234067,0.041027,4.442173,0.882970,0.929462,0.00080000
144,0.034911,4.104618,0.040441,4.552971,0.855835,0.951035,0.00040000
145,0.033466,4.050426,0.034015,4.156155,0.843551,0.865246,0.00040000
146,0.035201,4.134157,0.035640,4.192855,0.862033,0.874211,0.00040000
147,0.033199,4.130493,0.037592,4.440778,0.859298,0.925748,0.00040000
